Micromax, 350623569, 633785003332, 500597815, 621575421801, 631277813411, 673222809476, 630774769253, 679792077873, 633038732852, 681366893662, 672464606412, 1805684075, 629630242161, 597235, 663777100857, 7217, 623435230894, 635508777657, 628031232729, 667527003
Euro, 670150355079, 660862987570, 670911510016, 649733147951, 631925717427, 670085434016, 669978242924, 621456234757, 667505244162, 640284636132, 625276156437, 624699295279, 632322285371, 678965467271, 641649219960, 671653457895, 675363075585, 658358819659, 650015221174, 682397567054
Vivo, 653884644920, 638339481123, 668279242024, 668430442267, 645541888672, 653082616138, 645070590292, 675699898743, 657352105736, 648666277839, 665167776702, 625608731590, 618520547201, 641308393264, 663282235217, 626735147680, 652168716591, 685957935299, 638036860505, 621558908871
Oppo, 668274431328, 643312690630, 626468292507, 633562007743, 676794837200, 685908655040, 653575114482, 634528695148, 685107246944, 619667020837, 670564638234, 680505254861, 679556356398, 643926647971, 681078867948, 624841245534, 685433810916, 678732063641, 637886660101, 682328577597
Fila, 668004422525, 663143768915, 1589037949, 2108493794, 656301655021, 663617165922, 660254158544, 680721830378, 567839749, 671462258559, 592316, 622001598445, 662511233003, 623514798370, 684114311710, 1656392989, 664009962487, 629431514985, 514657096, 659322209191
Skullcandy, 681698059737, 642355253564, 665263883213, 643676034828, 634445084364, 638962756591, 885980080, 25086, 25060, 655097380447, 222669, 666692774702, 660979291547, 464821518, 662978, 624054452752, 652187749426, 644623037886, 1719802416, 634807660795
Xiaomi, 628074762398, 627240975986, 646818933280, 656491886214, 667646709748, 655938231875, 676556435413, 619053875688, 659821121846, 675505949894, 672496609441, 681719801510, 682408031826, 678561641758, 633784134531, 621703460742, 659195503210, 654762078567, 667430060729, 663493616378
HP, 1943015490, 675557672612, 679899471630, 675008420249, 546156160, 1574851910, 165993591, 657791382945, 1286147720, 1773650745, 595880169, 636422055818, 666362930472, 1440781422, 665028988970, 623483044548, 209885702, 2073135917, 664199185071, 683040962871
Arrow, 668183289451, 631361484195, 642441435406, 661210702425, 675926665421, 1823663689, 623649024235, 628208200261, 648363776389, 685226877787, 660093751527, 1957337478, 643476748814, 619890592005, 659688140833, 662864580712, 666329550293, 651908142155, 644505068642, 638466135325
Wrangler, 626838223290, 626857464630, 682514423924, 659074863136, 1271562865, 660108909229, 1487373100, 1658082372, 647701332068, 1974890993, 642033592044, 465198700, 651521869559, 649550693899, 630176863833, 620889646621, 619641181955, 650507274806, 660641952718, 115644795
Flying Machine, 674077688848, 685258465373, 667710783502, 682439270446, 623604921854, 633916317909, 630537353564, 634502385150, 662593364028, 630451655916, 686152812182, 647868073200, 632270329346, 649417659881, 623166581547, 648208214804, 645865388197, 662064301904, 677800509233, 628328552150
Sony, 635054099502, 643949816942, 668501714674, 678692858130, 57532, 686819743, 658778644752, 678569560687, 133082, 682191854074, 632314827098, 1870857594, 655293310505, 676765637064, 678464994317, 672015452099, 655149517608, 630185302400, 1620974605, 569111961
LG, 671249724387, 647810759194, 658307614868, 662551157720, 683500732655, 676205852341, 622087265962, 650362518965, 1122709702, 631888276706, 669550324443, 653639199, 640473206163, 419935, 641698377809, 685022860268, 1379458, 631660751852, 660877535763, 633436427300
Mufti, 682080995820, 661280919398, 625553495390, 635450947251, 650530423649, 672613232079, 666252842591, 649660242321, 645409830497, 662587402137, 622541287860, 674181580625, 641541128400, 630123701285, 623346610844, 631229848036, 622699180468, 628000979364, 641250159929, 651614584597
Nike, 667473058594, 686647866472, 642630463671, 622569675437, 645290087750, 667189229985, 625914994039, 631519117963, 645579842412, 648643209459, 645709614292, 672779559972, 650593865810, 629070383933, 621288777835, 638525037641, 637692076323, 673080040883, 634673426274, 654835515518
Gionee, 670903127938, 680980429068, 634481123826, 631197159594, 655716697134, 638257479837, 630564191419, 685707660130, 675130389535, 66425881, 636567070702, 639461896791, 647255754931, 684413155941, 683824022921, 681226318970, 665566487144, 664437206117, 665258377342, 673011724214
Adidas, 680487322451, 680970078877, 1956965693, 46831476, 637788150677, 677014758865, 630815841476, 682879254391, 681690468067, 645074207017, 641570263518, 670159031994, 661124152515, 674157529425, 633945903847, 633252916450, 621126051883, 667069144412, 632103863028, 625621961726
Lava, 637976476997, 632631952507, 1067064704, 645077865115, 661962025773, 2140117317, 671785919407, 61562, 645934786737, 674896274496, 632137474, 661239255959, 627132831739, 620086024434, 1035933452, 684097537211, 659132048322, 647635636312, 660228994658, 644564794612
